156:97	ads	Ad_2	1472	1472
156:98	ads	Ad_3	1472	1472
156:99	ads	Ad_4	1472	1472
156:101	ads	Ad_1(1)	1472	1472
156:102	ads	Ad_2(1)	1472	1472
156:103	ads	Ad_4 (1)	1472	1472
156:104	ads	Ad_5	1472	1472
156:105	ads	GH 20 Sub Save 800x800	1472	1472
156:106	ads	GH 20 Sub Save 2000x730	1472	537
156:107	ads	DTD Shelf Blade EN	1472	5709
156:108	ads	JanPromo mobile FG	1472	1472
156:109	ads	JanPromo FG banner	1472	537
156:110	ads	GHJ Jan Promo Cleanse3	1473	718
156:111	ads	DTD Go Train Asset	1472	827
156:112	ads	Smoothies Carousel 02	1472	1472
156:113	ads	Smoothies Carousel 01	1472	1472
156:114	ads	Smoothies Carousel 03	1472	1472
156:115	ads	Smoothies Carousel 04	1472	1472
156:116	ads	Smoothies Carousel 05	1472	1472
156:117	ads	Smoothies Carousel 06	1472	1472
156:118	ads	JanPromo mobile FG 2	1472	1472
3:45	ads	GM Instigator Eyeliner Promo Story	1080	1920
3:44	ads	GM Instigator Eyeliner Promo IG	1080	1080
3:46	ads	GM Instigator Eyeliner Promo FB	1200	628
3:47	ads	GM Gel Eyeliner Launch Story	1080	1920
3:48	ads	GM Gel Eyeliner Launch IG	1080	1080
3:49	ads	GM Gel Eyeliner Launch FB	1200	628
3:50	ads	GM Toujours Eyeshadow Story	1080	1920
3:51	ads	GM Toujours Eyeshadow IG	1080	1080
3:52	ads	GM Toujours Eyeshadow FB	1200	628
3:53	ads	GM Optimum Foot File Story	1080	1920
3:54	ads	GM Optimum Foot File IG	1080	1080
3:55	ads	GM Optimum Foot File FB	1200	628
3:56	ads	GM Poise Perfection Launch Story	1080	1920
3:57	ads	GM Poise Perfection Launch IG	1080	1080
3:58	ads	GM Poise Perfection Launch FB	1200	628
3:59	ads	GM Vibrance Launch Story	1080	1920
3:60	ads	GM Vibrance Launch IG	1080	1080
3:61	ads	GM Vibrance Launch FB	1200	628
98:419	ads	Ad2 sq	1080	1350
98:420	ads	Ad3 sq	1080	1350
98:421	ads	Ad4 sq	1080	1350
98:422	ads	Ad5 sq	1080	1350
98:423	ads	Ad6 sq	1080	1350
98:425	ads	BSB Black Friday 2	1080	1920
98:426	ads	BSB Black Friday 3	1080	1920
98:427	ads	BSB Black Friday 4	1080	1920
98:424	ads	BSB Black Friday 1	1080	1920
156:30	packaging	Vibrance	2000	4003
156:61	packaging	glam	2000	4003
156:72	packaging	glam b	2000	4003
156:82	packaging	lashes	2000	4003
156:40	packaging	contour	2000	4003
156:50	packaging	Tea	2000	4003
213:32	decks	Orbitoshift Crypto Pitch Deck	1920	8876
213:31	decks	Digital Transformation Strategy Deck	1920	11299
213:33	decks	Trace AI Revolution Deck	1920	11014
244:1536	decks	Healthcare App UI Smart Simple Care	1920	21487
